"","Order","Family","Genus","Species_reported","Growth_form","Distribution","Microhabitat","Dispersal_period","Dispersal_syndrome","Embryoless","Viable","Dry_mass","Water_content","Dormancy","Species_acceptedLCVP"
"172","Pandanales","Velloziaceae","Vellozia","Vellozia leptopetala","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_declinans"
"173","Poales","Xyridaceae","Xyris","Xyris bialata","Herb","Widespread","Mesic/Xeric","ED","Autochory",NA,NA,0.045,NA,"ND","Xyris_bialata"
"174","Poales","Xyridaceae","Xyris","Xyris peregrina","Herb","Widespread","Mesic/Xeric","ED","Autochory",NA,NA,0.015,NA,"ND","Xyris_pterygoblephara"
"175","Poales","Eriocaulaceae","Comanthera","Comanthera bisulcata","Herb","Widespread","Mesic","LD","Anemochory",NA,NA,NA,NA,"ND","Comanthera_bisulcata"
"176","Poales","Eriocaulaceae","Comanthera","Comanthera elegans","Herb","Restricted","Xeric","ER","Anemochory",NA,NA,NA,NA,"ND","Comanthera_elegans"
"177","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus anthemidiflorus","Herb","Restricted","Xeric","ER","Anemochory",NA,NA,NA,NA,"ND","Syngonanthus_anthemiflorus"
"178","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus verticillatus","Herb","Widespread","Mesic","ER","Anemochory",NA,NA,NA,NA,"ND","Syngonanthus_verticillatus"
"179","Pandanales","Velloziaceae","Vellozia","Vellozia alutacea","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,NA,0.24,NA,"ND","Vellozia_alutacea"
"180","Pandanales","Velloziaceae","Vellozia","Vellozia caruncularis",NA,"Restricted","Xeric",NA,"Autochory",NA,NA,0.15,NA,"ND","Vellozia_caruncularis"
"181","Pandanales","Velloziaceae","Vellozia","Vellozia gigantea","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,0.36,NA,"ND","Vellozia_gigantea"
"182","Pandanales","Velloziaceae","Vellozia","Vellozia glandulifera",NA,"Restricted","Xeric",NA,"Autochory",NA,NA,1.21,NA,"ND","Vellozia_glandulifera"
"183","Poales","Xyridaceae","Xyris","Xyris aurea","Herb","Restricted","Mesic","LR","Autochory",NA,NA,0.115,11.7,"ND","Xyris_aurea"
"184","Poales","Xyridaceae","Xyris","Xyris bialata","Herb","Widespread","Mesic","ED","Autochory",NA,NA,0.045,10.9,"ND","Xyris_bialata"
"185","Poales","Xyridaceae","Xyris","Xyris blanchetiana","Herb","Widespread","Mesic","ER","Autochory",NA,NA,0.016,12.1,"NC","Xyris_blanchetiana"
"186","Poales","Xyridaceae","Xyris","Xyris coutensis","Herb","Restricted","Mesic","LD","Autochory",NA,NA,0.158,11.9,"D","Xyris_coutensis"
"187","Poales","Xyridaceae","Xyris","Xyris jolyi","Herb","Widespread","Mesic","LD","Autochory",NA,NA,0.012,11.5,"ND","Xyris_jolyi"
"188","Poales","Xyridaceae","Xyris","Xyris laxifolia","Herb","Widespread","Mesic","ED","Autochory",NA,NA,0.02,12.2,"ND","Xyris_laxifolia"
"189","Poales","Xyridaceae","Xyris","Xyris peregrina","Herb","Widespread","Mesic","ED","Autochory",NA,NA,0.015,13.1,"ND","Xyris_pterygoblephara"
"190","Poales","Xyridaceae","Xyris","Xyris spinulosa","Herb","Widespread","Mesic","ED","Autochory",NA,NA,0.028,12.2,"ND","Xyris_spinulosa"
"191","Fabales","Fabaceae","Chamaecrista","Chamaecrista cathartica var. paucijuga","Shrub","Restricted","Xeric","LR","Autochory",NA,NA,8.55,NA,"D","Chamaecrista_cathartica"
"192","Fabales","Fabaceae","Chamaecrista","Chamaecrista dentata","Shrub","Widespread","Xeric",NA,"Autochory",NA,NA,25.38,NA,"D","Chamaecrista_dentata"
