"","Order","Family","Genus","Species_reported","Growth_form","Distribution","Microhabitat","Dispersal_period","Dispersal_syndrome","Embryoless","Viable","Dry_mass","Water_content","Dormancy","Species_acceptedLCVP"
"101","Poales","Bromeliaceae","Vriesea","Vriesea atropurpurea","Herb","Restricted","Xeric","ED","Anemochory",41.4,47.7,NA,NA,"ND","Vriesea_atropurpurea"
"102","Caryophyllales","Cactaceae","Cipocereus","Cipocereus minensis","Succulent","Restricted","Xeric","LD","Zoochory",28.2,23.5,NA,NA,"ND","Cipocereus_minensis"
"103","Caryophyllales","Cactaceae","Pilosocereus","Pilosocereus aurisetus","Succulent","Restricted","Xeric","ED","Zoochory",0,97.3,NA,NA,"ND","Pilosocereus_aurisetus"
"104","Dilleniales","Dilleniaceae","Davilla","Davilla grandiflora","Shrub","Widespread","Xeric","LR","Zoochory",0,100,NA,NA,"D","Davilla_grandiflora"
"105","Ericales","Ericaceae","Agarista","Agarista virgata","Shrub","Restricted","Xeric","ED","Autochory",83.1,14.9,NA,NA,"ND","Agarista_virgata"
"106","Ericales","Ericaceae","Gaylussacia","Gaylussacia montana","Shrub","Restricted","Xeric","ED","Zoochory",79.6,11.8,NA,NA,"D","Gaylussacia_montana"
"107","Ericales","Ericaceae","Gaylussacia","Gaylussacia reticulata","Shrub","Restricted","Xeric","ED","Zoochory",91.4,2,NA,NA,"NC","Gaylussacia_reticulata"
"108","Fabales","Fabaceae","Mimosa","Mimosa macedoana","Shrub","Restricted","Xeric","LR","Autochory",0,96.9,NA,NA,"D","Mimosa_macedoana"
"109","Gentianales","Gentianaceae","Calolisianthus","Calolisianthus pedunculatus","Herb","Widespread","Xeric","ED","Autochory",2.3,96.4,NA,NA,"ND","Calolisianthus_pedunculatus"
"110","Asparagales","Iridaceae","Pseudotrimezia","Trimezia juncifolia","Herb","Widespread","Xeric","LD","Autochory",0,100,NA,NA,"ND","Pseudotrimezia_juncifolia"
"111","Myrtales","Melastomataceae","Cambessedesia","Cambessedesia corymbosa","Shrub","Widespread","Xeric","ED","Autochory",19.3,44,NA,NA,"ND","Cambessedesia_corymbosa"
"112","Malpighiales","Ochnaceae","Luxemburgia","Luxemburgia ciliatibracteata","Shrub","Restricted","Xeric","LD","Autochory",30.7,67,NA,NA,"ND","Luxemburgia_ciliatibracteata"
"113","Malpighiales","Ochnaceae","Luxemburgia","Luxemburgia damazioana","Shrub","Restricted","Xeric","ED","Autochory",12.2,75.6,NA,NA,"ND","Luxemburgia_damazioana"
"114","Lamiales","Orobanchaceae","Esterhazya","Esterhazya splendida","Shrub","Widespread","Xeric","ER","Autochory",46,54,NA,NA,"ND","Esterhazya_splendida"
"115","Lamiales","Orobanchaceae","Physocalyx","Physocalyx major","Shrub","Restricted","Xeric","LD","Autochory",53.7,46,NA,NA,"ND","Physocalyx_major"
"116","Fabales","Polygalaceae","Polygala","Polygala paniculata","Herb","Widespread","Xeric","ED","Autochory",8.7,90.9,NA,NA,"D","Polygala_paniculata"
"117","Gentianales","Rubiaceae","Declieuxia","Declieuxia fruticosa","Shrub","Widespread","Xeric","ED","Zoochory",12.7,46.8,NA,NA,"ND","Declieuxia_fruticosa"
"118","Gentianales","Rubiaceae","Palicourea","Palicourea rigida","Shrub","Widespread","Xeric","LR","Zoochory",23.1,61.5,NA,NA,"D","Palicourea_rigida"
"119","Pandanales","Velloziaceae","Vellozia","Vellozia compacta","Shrub","Restricted","Xeric","ED","Autochory",10.2,85.4,NA,NA,"ND","Vellozia_compacta"
"120","Pandanales","Velloziaceae","Vellozia","Vellozia nanuzae","Shrub","Restricted","Xeric","LD","Autochory",5.4,89.2,NA,NA,"D","Vellozia_nanuzae"
"121","Myrtales","Vochysiaceae","Vochysia","Vochysia pygmaea","Shrub","Widespread","Xeric","LD","Anemochory",2.1,97.9,NA,NA,"ND","Vochysia_pygmaea"
"122","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Tree","Widespread","Xeric","LD","Anemochory",2.7,97.3,NA,NA,"ND","Vochysia_thyrsoidea"
"123","Poales","Bromeliaceae","Tillandsia","Tillandsia gardneri","Herb","Widespread","Mesic/Xeric","LR","Anemochory",NA,NA,NA,NA,"ND","Tillandsia_gardneri"
"124","Poales","Bromeliaceae","Vriesea","Vriesea bituminosa","Herb","Widespread","Mesic/Xeric","LR","Anemochory",NA,NA,NA,NA,"ND","Vriesea_bituminosa"
"125","Poales","Bromeliaceae","Vriesea","Vriesea friburgensis","Herb","Widespread","Mesic","LD","Anemochory",NA,NA,NA,NA,"ND","Vriesea_friburgensis"
"126","Poales","Eriocaulaceae","Comanthera","Comanthera bisulcata","Herb","Widespread","Mesic","LD","Anemochory",NA,91,NA,NA,"ND","Comanthera_bisulcata"
"127","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus verticillatus","Herb","Widespread","Mesic","LD","Anemochory",NA,92.6,NA,NA,"ND","Syngonanthus_verticillatus"
"128","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Tree","Widespread","Xeric",NA,"Anemochory",77.3,NA,NA,NA,"ND","Eremanthus_erythropappus"
"129","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Tree","Widespread","Xeric",NA,"Anemochory",83.3,NA,NA,NA,"ND","Eremanthus_erythropappus"
"130","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Tree","Widespread","Xeric",NA,"Anemochory",89.2,NA,NA,NA,"NC","Eremanthus_erythropappus"
"131","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Tree","Widespread","Xeric",NA,"Anemochory",88.2,NA,NA,NA,"NC","Eremanthus_erythropappus"
"132","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Tree","Widespread","Xeric",NA,"Anemochory",82.8,NA,NA,NA,"ND","Eremanthus_erythropappus"
"133","Asterales","Asteraceae","Lychnophora","Lychnophora ericoides","Tree","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Lychnophora_ericoides"
"134","Poales","Poaceae","Echinolaena","Echinolaena inflexa","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Echinolaena_inflexa"
"135","Poales","Poaceae","Homolepis","Homolepis longispicula","Herb","Widespread","Mesic/Xeric",NA,"Anemochory",NA,NA,NA,NA,"D","Homolepis_longispicula"
"136","Pandanales","Velloziaceae","Vellozia","Vellozia caruncularis",NA,"Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_caruncularis"
"137","Pandanales","Velloziaceae","Vellozia","Vellozia epidendroides",NA,"Restricted","Mesic/Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_epidendroides"
"138","Pandanales","Velloziaceae","Vellozia","Vellozia nanuzae","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_nanuzae"
"139","Pandanales","Velloziaceae","Vellozia","Vellozia resinosa","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_resinosa"
"140","Pandanales","Velloziaceae","Vellozia","Vellozia variabilis","Shrub","Widespread","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_alutacea"
"141","Poales","Xyridaceae","Xyris","Xyris pilosa","Herb","Restricted","Mesic",NA,"Autochory",NA,NA,NA,NA,"ND","Xyris_pilosa"
"142","Poales","Poaceae","Andropogon","Andropogon bicornis","Herb","Restricted","Mesic/Xeric","LR","Anemochory",NA,NA,NA,NA,"D","Andropogon_bicornis"
"143","Poales","Poaceae","Andropogon","Andropogon leucostachyus","Herb","Widespread","Xeric","LR","Anemochory",NA,NA,NA,NA,"D","Andropogon_leucostachyus"
"144","Poales","Poaceae","Apochloa","Apochloa euprepes","Herb","Restricted","Mesic/Xeric","LR","Autochory",NA,NA,NA,NA,"NC","Panicum_euprepes"
"145","Poales","Poaceae","Cenchrus","Cenchrus brownii","Herb","Widespread","Mesic/Xeric","LD","Zoochory",NA,NA,NA,NA,"D","Cenchrus_brownii"
"146","Poales","Poaceae","Echinolaena","Echinolaena inflexa","Herb","Widespread","Mesic/Xeric","LR","Autochory",NA,NA,NA,NA,"NC","Echinolaena_inflexa"
"147","Poales","Poaceae","Setaria","Setaria parviflora","Herb","Widespread","Mesic/Xeric","LR","Autochory",NA,NA,NA,NA,"D","Setaria_parviflora"
"148","Poales","Poaceae","Axonopus","Axonopus laxiflorus","Herb","Widespread","Xeric","LR","Autochory",99.25,NA,0.124,NA,"NC","Axonopus_laxiflorus"
"149","Poales","Poaceae","Sporobolus","Sporobolus metallicolus","Herb","Widespread","Xeric","LD","Autochory",NA,NA,0.01,NA,"NC","Sporobolus_metallicola"
"150","Asterales","Asteraceae","Baccharis","Baccharis reticularia","Shrub","Widespread","Mesic/Xeric","LD","Anemochory",NA,NA,0.27,NA,"NC","Baccharis_reticularia"
"151","Asterales","Asteraceae","Chromolaena","Chromolaena squalida","Shrub","Widespread","Mesic/Xeric","LD","Anemochory",NA,NA,0.43,NA,"NC","Chromolaena_squalida"
"152","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum sprengelianum","Shrub","Widespread","Mesic/Xeric","LD","Anemochory",NA,NA,19.2,NA,"NC","Dasyphyllum_sprengelianum"
"153","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Tree","Widespread","Mesic/Xeric","LD","Anemochory",NA,NA,0.25,NA,"NC","Eremanthus_erythropappus"
"154","Asterales","Asteraceae","Eremanthus","Eremanthus incanus","Tree","Widespread","Mesic/Xeric","LD","Anemochory",NA,NA,0.03,NA,"NC","Eremanthus_incanus"
"155","Poales","Cyperaceae","Bulbostylis","Bulbostylis fimbriata","Herb","Widespread","Mesic/Xeric","LD","Autochory",NA,NA,0.09,NA,"NC","Bulbostylis_fimbriata"
"156","Fabales","Fabaceae","Senna","Senna reniformis","Shrub","Widespread","Mesic/Xeric","LD","Autochory",NA,NA,18.6,NA,"NC","Senna_reniformis"
"157","Myrtales","Lythraceae","Diplusodon","Diplusodon microphyllus","Shrub","Restricted","Mesic/Xeric","LD","Anemochory",NA,NA,0.69,NA,"NC","Diplusodon_microphyllus"
"158","Myrtales","Melastomataceae","Miconia","Miconia ligustroides","Shrub","Widespread","Mesic/Xeric","LD","Zoochory",NA,NA,0.44,NA,"NC","Miconia_ligustroides"
"159","Myrtales","Melastomataceae","Pleroma","Pleroma heteromallum","Shrub","Widespread","Mesic/Xeric","LD","Autochory",NA,NA,0.04,NA,"NC","Pleroma_heteromallum"
"160","Myrtales","Melastomataceae","Pleroma","Pleroma semidecandrum","Shrub","Widespread","Mesic/Xeric","LD","Autochory",NA,NA,0.06,NA,"NC","Pleroma_semidecandrum"
"161","Myrtales","Melastomataceae","Trembleya","Trembleya parviflora","Shrub","Widespread","Xeric","LD","Autochory",NA,NA,0.019,NA,"NC","Microlicia_parviflora"
"162","Myrtales","Myrtaceae","Myrcia","Myrcia splendens","Tree","Widespread","Mesic","LD","Zoochory",NA,NA,59.5,NA,"NC","Myrcia_splendens"
"163","Poales","Poaceae","Sporobolus","Sporobolus metallicolus","Herb","Widespread","Xeric","LD","Autochory",NA,NA,0.102,NA,"NC","Sporobolus_metallicola"
"164","Asparagales","Iridaceae","Herbertia","Herbertia zebrina","Herb","Widespread","Xeric",NA,NA,NA,NA,NA,NA,"ND","Herbertia_zebrina"
"165","Myrtales","Melastomataceae","Cambessedesia","Cambessedesia hilariana","Shrub","Widespread","Xeric",NA,"Autochory",NA,NA,NA,NA,"ND","Cambessedesia_hilariana"
"166","Asterales","Asteraceae","Baccharis","Baccharis retusa","Shrub","Widespread","Xeric","LD","Anemochory",NA,NA,NA,NA,"ND","Baccharis_retusa"
"167","Myrtales","Melastomataceae","Pleroma","Tibouchina multiflora","Shrub","Widespread","Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Pleroma_heteromallum"
"168","Pandanales","Velloziaceae","Vellozia","Vellozia gigantea","Shrub","Restricted","Xeric","ER","Autochory",NA,NA,0.47,13.45,"ND","Vellozia_gigantea"
"169","Pandanales","Velloziaceae","Vellozia","Vellozia glandulifera","Herb","Restricted","Xeric","ER","Autochory",NA,NA,0.49,17.33,"ND","Vellozia_glandulifera"
"170","Pandanales","Velloziaceae","Vellozia","Vellozia variabilis","Shrub","Widespread","Xeric","LD","Autochory",NA,NA,0.21,13.05,"ND","Vellozia_alutacea"
"171","Pandanales","Velloziaceae","Vellozia","Vellozia epidendroides","Herb","Restricted","Mesic",NA,"Autochory",NA,NA,NA,NA,"ND","Vellozia_epidendroides"
