ID,Species_reported,Species_accepted,Temperature,GermSeeds,nSeeds,Order,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP
37,Vellozia variabilis,Vellozia variabilis,25/15,18,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25/15,19,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,30/20,20,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,30/20,19,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,30/20,18,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,30/20,17,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,30/20,18,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Xyris pilosa,Xyris pilosa,25,30,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25,36,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25,35,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25,32,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25,26,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25/15,13,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25/15,16,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25/15,8,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
37,Xyris pilosa,Xyris pilosa,25/15,12,40,Poales,Herb,Restricted,Mesic,0.04,ND,Xyris_pilosa
