"Species_reported","Species_acceptedLCVP"
"Lavoisiera francavillana","Lavoisiera_francavillana"
"Kielmeyera regalis","Kielmeyera_regalis"
"Paliavana sericiflora","Paliavana_sericiflora"
"Sinningia allagophylla","Sinningia_allagophylla"
"Sinningia rupicola","Sinningia_rupicola"
"Chaetostoma armatum","Chaetostoma_armatum"
"Clidemia urceolata","Clidemia_urceolata"
"Leandra aurea","Leandra_aurea"
"Miconia rubiginosa","Miconia_rubiginosa"
"Paepalanthus speciosus","Paepalanthus_chiquitensis"
"Miconia pepericarpa","Miconia_pepericarpa"
"Miconia angelana","Miconia_angelana"
"Syngonanthus niveus","Comanthera_nivea"
"Marcetia taxifolia","Marcetia_taxifolia"
"Calliandra fasciculata","Calliandra_fasciculata"
"Mimosa foliolosa subsp. pachycarpa","Mimosa_foliolosa"
"Diplusodon hirsutus","Diplusodon_hirsutus"
"Diplusodon orbicularis","Diplusodon_orbicularis"
"Acisanthera alsinaefolia","Acisanthera_alsinefolia"
"Acisanthera punctatissima","Acisanthera_quadrata"
"Clidemia capitellata","Clidemia_capitellata"
"Comolia sertularia","Fritzschia_sertularia"
"Comolia sessilis","Comolia_sessilis"
"Lavoisiera caryophyllea","Lavoisiera_caryophyllea"
"Lavoisiera confertiflora","Lavoisiera_confertiflora"
"Lavoisiera campos-portoana","Lavoisiera_crassifolia"
"Lavoisiera imbricata","Lavoisiera_imbricata"
"Lavoisiera pulcherrima","Lavoisiera_pulcherrima"
"Lavoisiera subulata","Lavoisiera_subulata"
"Leandra coriacea","Leandra_coriacea"
"Lithobium cordatum","Lithobium_cordatum"
"Macairea radula","Macairea_radula"
"Merianthera sipolisii","Merianthera_sipolisii"
"Miconia albicans","Miconia_albicans"
"Miconia alborufescens","Miconia_alborufescens"
"Miconia chamissois","Miconia_chamissois"
"Miconia cipoensis","Miconia_cipoensis"
"Miconia corallina","Miconia_corallina"
"Miconia elegans","Miconia_elegans"
"Miconia ibaguensis","Miconia_ibaguensis"
"Miconia irwinii","Miconia_irwinii"
"Miconia stenostachya","Miconia_stenostachya"
"Miconia theaezans","Miconia_theaezans"
"Microlicia avicularis","Microlicia_avicularis"
"Microlicia graveolens","Microlicia_graveolens"
"Microlicia fulva","Microlicia_fulva"
"Microlicia sp.","NA_NA"
"Microlicia sp. 2","NA_NA"
"Tibouchina candolleana","Tibouchina_candolleana"
"Tibouchina cardinalis","Tibouchina_cardinalis"
"Tibouchina martiusiana","Tibouchina_martiusiana"
"Pterolepis alpestris","Pterolepis_alpestris"
"Rhynchanthera cordata","Rhynchanthera_cordata"
"Rhynchanthera grandiflora","Rhynchanthera_grandiflora"
"Tibouchina sp.","NA_NA"
"Vellozia aloifolia","Vellozia_aloifolia"
"Vellozia ciliata","Vellozia_ciliata"
"Vellozia glauca","Vellozia_glauca"
"Vellozia hatschbachii","Vellozia_hatschbachii"
"Vellozia hirsuta","Vellozia_hirsuta"
"Vellozia maxillarioides","Vellozia_maxillarioides"
"Vellozia minima","Vellozia_minima"
"Vellozia ornata","Vellozia_ornata"
"Vellozia pusilla","Vellozia_pusilla"
"Vellozia seubertiana","Vellozia_seubertiana"
"Vellozia spiralis","Vellozia_spiralis"
"Vellozia stenocarpa","Vellozia_stenocarpa"
"Dyckia sordida","Dyckia_sordida"
"Dyckia ursina","Dyckia_ursina"
"Encholirium heloisae","Encholirium_heloisae"
"Encholirium magalhaesii","Encholirium_magalhaesii"
"Encholirium pedicellatum","Encholirium_pedicellatum"
"Encholirium reflexum","Encholirium_reflexum"
"Encholirium scrutor","Encholirium_scrutor"
"Encholirium subsecundum","Encholirium_subsecundum"
"Eremanthus elaeagnus","Eremanthus_elaeagnus"
"Eremanthus glomerulatus","Eremanthus_glomeratus"
"Vellozia intermedia","Vellozia_intermedia"
"Vellozia albiflora","Vellozia_albiflora"
"Vellozia glabra","Vellozia_glabra"
"Vellozia lilacina","Vellozia_lilacina"
"Vellozia nivea","Vellozia_nivea"
"Pitcairnia albiflos","Pitcairnia_albiflos"
"Pitcairnia staminea","Pitcairnia_staminea"
"Cavalcantia glomerata","Cavalcantia_glomerata"
"Cavalcantia percymosa","Cavalcantia_percymosa"
"Lepidaploa arenaria","Lepidaploa_arenaria"
"Lepidaploa paraensis","Lepidaploa_paraensis"
"Monogereion carajensis","Monogereion_carajensis"
"Parapiqueria cavalcantei","Parapiqueria_cavalcantei"
"Praxelis asperulacea","Praxelis_asperulacea"
"Anemopaegma carajasense","Anemopaegma_paraense"
"Dyckia duckei","Dyckia_duckei"
"Ipomoea cavalcantei","Ipomoea_cavalcantei"
"Ipomoea marabaensis","Ipomoea_marabensis"
"Ipomoea maurandioides","Ipomoea_maurandioides"
"Operculina hamiltonii","Operculina_hamiltonii"
"Bulbostylis cangae","Bulbostylis_cangae"
"Bulbostylis conifera","Bulbostylis_conifera"
"Hypolytrum paraense","Hypolytrum_paraense"
"Paepalanthus fasciculoides","Paepalanthus_fasciculoides"
"Chamaecrista desvauxii","Chamaecrista_desvauxii"
"Mimosa dasilvae","Mimosa_dasilvae"
"Mimosa skinneri var. carajarum","Mimosa_skinneri"
"Chelonanthus purpurascens","Calolisianthus_purpurascens"
"Utricularia neottioides","Utricularia_neottioides"
"Utricularia physoceras","Utricularia_physoceras"
"Utricularia subulata","Utricularia_subulata"
"Brasilianthus carajensis","Brasilianthus_carajensis"
"Pleroma carajasense","Tibouchina_riedeliana"
"Tibouchina edmundoi","Tibouchina_edmundoi"
"Sauvagesia tenella","Sauvagesia_tenella"
"Epidendrum nocturnum","Epidendrum_nocturnum"
"Sobralia liliastrum","Sobralia_liliastrum"
"Buchnera carajasensis","Buchnera_carajasensis"
