ID,Order,Family,Genus,Species_reported,Authority_reported,Species_accepted,Authority_accepted,Latitude,Longitude,Location,Outcrop,Growth_form,Distribution,Microhabitat,Dispersal_period,Dispersal_syndrome,Seed_number,Embryoless,Nonviable,Nondormant,Dormant,Viable,Length,Width,Thickness,Dry_mass,Water_content,Dormancy,Dormancy_class,Dessication_tolerance,Notes
2,Asterales,Asteraceae,Graphistylis,Graphistylis argyrotricha,(Dusén) B.Nord.,Graphistylis argyrotricha,(Dusén) B.Nord.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,ED,Anemochory,NA,NA,NA,91.2,6.3,97.5,NA,NA,NA,0.99,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Graphistylis,Graphistylis dichroa,(Bong.) D.J.N.Hind,Graphistylis dichroa,(Bong.) D.J.N.Hind,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,LD,Anemochory,NA,NA,NA,85,0,85,NA,NA,NA,1.06,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Pentacalia,Pentacalia desiderabilis,(Vell.) Cuatrec.,Pentacalia desiderabilis,(Vell.) Cuatrec.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Liana,Widespread,Xeric,ER,Anemochory,NA,NA,NA,88.7,6.3,95,NA,NA,NA,0.17,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Senecio,Senecio adamantinus,Bong.,Senecio adamantinus,Bong.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,ED,Anemochory,NA,NA,NA,85,5,90,NA,NA,NA,0.5,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Senecio,Senecio brasiliensis,(Spreng.) Less.,Senecio brasiliensis,(Spreng.) Less.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,ER,Anemochory,NA,NA,NA,86.2,3.8,90,NA,NA,NA,0.37,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Senecio,Senecio oleosus,Vell.,Senecio oleosus,Vell.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,NA,Anemochory,NA,NA,NA,37.5,37.5,75,NA,NA,NA,0.88,NA,D,NA,NA,NA
2,Asterales,Asteraceae,Trixis,Trixis glaziovii,Baker,Trixis glaziovii,Baker,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Anemochory,NA,NA,NA,58.7,11.2,70,NA,NA,NA,1.12,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Verbesina,Verbesina glabrata,Hook. & Arn.,Verbesina glabrata,Hook. & Arn.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Anemochory,NA,NA,NA,43.8,21.2,65,NA,NA,NA,0.76,NA,D,NA,NA,NA
2,Cucurbitales,Begoniaceae,Begonia,Begonia occhionii,Brade,Begonia occhionii,Brade,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Autochory,NA,NA,NA,53.8,16.2,70,NA,NA,NA,0.001,NA,ND,ND,NA,NA
2,Ranunculales,Berberidaceae,Berberis,Berberis campos-portoi,Brade,Berberis campos-portoi,Brade,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Zoochory,NA,NA,NA,0,91.2,91.2,NA,NA,NA,15.5,NA,D,NA,NA,NA
