Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_period
Lepidaploa_rufogrisea,Shrub,Restricted,Xeric,ED
Mikania_itambana,Shrub,Restricted,Xeric,LD
Vriesea_atropurpurea,Herb,Restricted,Xeric,ED
Davilla_grandiflora,Shrub,Widespread,Xeric,LR
Agarista_virgata,Shrub,Restricted,Xeric,ED
Gaylussacia_montana,Shrub,Restricted,Xeric,ED
Gaylussacia_reticulata,Shrub,Restricted,Xeric,ED
Mimosa_macedoana,Shrub,Restricted,Xeric,LR
Calolisianthus_pedunculatus,Herb,Widespread,Xeric,ED
Pseudotrimezia_juncifolia,Herb,Widespread,Xeric,LD
Cambessedesia_corymbosa,Shrub,Widespread,Xeric,ED
Luxemburgia_ciliatibracteata,Shrub,Restricted,Xeric,LD
Luxemburgia_damazioana,Shrub,Restricted,Xeric,ED
Esterhazya_splendida,Shrub,Widespread,Xeric,ER
Physocalyx_major,Shrub,Restricted,Xeric,LD
Polygala_paniculata,Herb,Widespread,Xeric,ED
Declieuxia_fruticosa,Shrub,Widespread,Xeric,ED
Palicourea_rigida,Shrub,Widespread,Xeric,LR
Vellozia_compacta,Shrub,Restricted,Xeric,ED
Vellozia_nanuzae,Shrub,Restricted,Xeric,LD
Vochysia_pygmaea,Shrub,Widespread,Xeric,LD
Tillandsia_gardneri,Herb,Widespread,Mesic/Xeric,LR
Vriesea_bituminosa,Herb,Widespread,Mesic/Xeric,LR
Vriesea_friburgensis,Herb,Widespread,Mesic,LD
Comanthera_bisulcata,Herb,Widespread,Mesic,LD
Syngonanthus_verticillatus,Herb,Widespread,Mesic/Xeric,LD
Andropogon_bicornis,Herb,Restricted,Mesic/Xeric,LR
Andropogon_leucostachyus,Herb,Widespread,Xeric,LR
Panicum_euprepes,Herb,Restricted,Mesic/Xeric,LR
Cenchrus_brownii,Herb,Widespread,Mesic/Xeric,LD
Echinolaena_inflexa,Herb,Widespread,Mesic/Xeric,LR
Setaria_parviflora,Herb,Widespread,Mesic/Xeric,LR
Axonopus_laxiflorus,Herb,Widespread,Xeric,LR
Sporobolus_metallicola,Herb,Widespread,Xeric,LD
Baccharis_reticularia,Shrub,Widespread,Mesic/Xeric,LD
Chromolaena_squalida,Shrub,Widespread,Mesic/Xeric,LD
Dasyphyllum_sprengelianum,Shrub,Widespread,Mesic/Xeric,LD
Bulbostylis_fimbriata,Herb,Widespread,Mesic/Xeric,LD
Senna_reniformis,Shrub,Widespread,Mesic/Xeric,LD
Diplusodon_microphyllus,Shrub,Restricted,Mesic/Xeric,LD
Miconia_ligustroides,Shrub,Widespread,Mesic/Xeric,LD
Tibouchina_heteromalla,Shrub,Widespread,Mesic/Xeric,LD
Tibouchina_semidecandra,Shrub,Widespread,Mesic/Xeric,LD
Trembleya_parviflora,Shrub,Widespread,Xeric,LD
Baccharis_retusa,Shrub,Widespread,Xeric,LD
Vellozia_gigantea,Shrub,Restricted,Xeric,ER
Vellozia_glandulifera,Herb,Restricted,Xeric,ER
Vellozia_alutacea,Shrub,Widespread,Xeric,LD
