Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Mass
Miconia_corallina,Shrub,Widespread,Xeric,0.024
Miconia_ibaguensis,Shrub,Widespread,Mesic,0.0012
Miconia_ligustroides,Shrub,Widespread,Mesic/Xeric,0.22410625
Miconia_pepericarpa,Shrub,Widespread,Xeric,0.018
Miconia_stenostachya,Shrub,Widespread,Xeric,0.0041
Miconia_theaezans,Shrub,Widespread,Mesic,0.00138
Microlicia_fulva,Shrub,Restricted,Xeric,0.00035
Microlicia_tetrasticha,Shrub,Restricted,Xeric,0.00043
Mimosa_acutistipula,Shrub,Widespread,Xeric,8.06425
Mimosa_camporum,Herb,Widespread,Mesic/Xeric,4
Mimosa_dasilvae,Shrub,Restricted,Mesic,13.143
Mimosa_pudica,Shrub,Widespread,Mesic,5
Mimosa_skinneri,Herb,Restricted,Mesic,8.32825
Mitracarpus_carajasensis,Herb,Restricted,Xeric,0.11075
Monogereion_carajensis,Herb,Widespread,Xeric,0.062
Myrsine_gardneriana,Shrub,Widespread,Xeric,8.72
Nanuza_plicata,Shrub,Widespread,Xeric,0.15
Paepalanthus_fasciculoides,Herb,Widespread,Xeric,2.2805
Paepalanthus_itatiaiensis,Herb,Restricted,Xeric,0.17
Paliavana_sericiflora,Shrub,Restricted,Xeric,0.0223
Parapiqueria_cavalcantei,Herb,Widespread,Mesic/Xeric,0.0105
Paspalum_canarae,Herb,Restricted,Mesic,0.54525
Paspalum_cinerascens,Herb,Widespread,Mesic,0.18275
Pilocarpus_microphyllus,Shrub,Widespread,Xeric,38.205
Pitcairnia_flammea,Herb,Widespread,Xeric,0.162
Plantago_australis,Herb,Widespread,Xeric,1.07
Praxelis_asperulacea,Herb,Widespread,Mesic/Xeric,0.2375
Rhynchanthera_cordata,Shrub,Widespread,Mesic,0.00255
Rhynchanthera_grandiflora,Shrub,Widespread,Mesic,0.0011875
Roupala_montana,Shrub,Widespread,Xeric,8.9
Sauvagesia_tenella,Herb,Widespread,Mesic/Xeric,0.01230769231
Senecio_adamantinus,Shrub,Widespread,Xeric,0.5
Senecio_brasiliensis,Shrub,Widespread,Xeric,0.37
Senecio_oleosus,Herb,Restricted,Xeric,0.88
Senna_itatiaiae,Shrub,Widespread,Xeric,34.2
Senna_reniformis,Shrub,Widespread,Mesic/Xeric,18.6
Sinningia_allagophylla,Herb,Widespread,Mesic/Xeric,0.0172
Sinningia_rupicola,Herb,Widespread,Xeric,0.013
Sisyrinchium_palmifolium,Herb,Widespread,Xeric,1.61
Sisyrinchium_wettsteinii,Herb,Widespread,Mesic/Xeric,3.65
Sobralia_liliastrum,Herb,Widespread,Xeric,0.5638
Spermacoce_carajasensis,Shrub,Restricted,Mesic/Xeric,0.5805
Spermacoce_elaiosulcata,Shrub,Restricted,Mesic/Xeric,0.57925
Sporobolus_metallicola,Herb,Widespread,Xeric,0.056
Sporobolus_multiramosus,Herb,Widespread,Xeric,0.33325
Stachytarpheta_ajugifolia,Shrub,Restricted,Xeric,3.11
Stachytarpheta_commutata,Shrub,Restricted,Xeric,1.63
Stachytarpheta_confertifolia,Herb,Restricted,Xeric,2.24
Stachytarpheta_discolor,Shrub,Restricted,Xeric,2.09
Stachytarpheta_glabra,Shrub,Restricted,Xeric,2.45
Stachytarpheta_harleyi,Shrub,Restricted,Xeric,1.55
Stachytarpheta_martiana,Shrub,Widespread,Xeric,11.4
Stachytarpheta_mexiae,Shrub,Widespread,Mesic/Xeric,1.7
Stachytarpheta_reticulata,Shrub,Widespread,Mesic/Xeric,2.95
Stachytarpheta_sellowiana,Shrub,Restricted,Xeric,3.2
Stachytarpheta_spathulata,Shrub,Restricted,Xeric,1.35
Syngonanthus_anthemiflorus,Herb,Restricted,Xeric,0.022
Syngonanthus_caulescens,Herb,Widespread,Mesic,0.024
