Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_syndrome
Vellozia_glandulifera,Herb,Restricted,Xeric,Autochory
Vellozia_alutacea2,Herb,Widespread,Mesic/Xeric,Autochory
Vellozia_epidendroides,Herb,Restricted,Mesic/Xeric,Autochory
Vellozia_declinans,Shrub,Restricted,Xeric,Autochory
Xyris_bialata,Herb,Widespread,Mesic/Xeric,Autochory
Xyris_pterygoblephara,Herb,Widespread,Mesic/Xeric,Autochory
Comanthera_elegans,Herb,Restricted,Mesic/Xeric,Anemochory
Syngonanthus_anthemiflorus,Herb,Restricted,Xeric,Anemochory
Xyris_aurea,Herb,Restricted,Mesic,Autochory
Xyris_blanchetiana,Herb,Widespread,Mesic,Autochory
Xyris_coutensis,Herb,Restricted,Mesic,Autochory
Xyris_jolyi,Herb,Widespread,Mesic,Autochory
Xyris_laxifolia,Herb,Widespread,Mesic,Autochory
Xyris_spinulosa,Herb,Widespread,Mesic,Autochory
Chamaecrista_cathartica,Shrub,Restricted,Xeric,Autochory
Chamaecrista_dentata,Shrub,Widespread,Xeric,Autochory
Chamaecrista_desvauxii2,Herb,Widespread,Mesic/Xeric,Autochory
Chamaecrista_latifolia,Herb,Restricted,Mesic/Xeric,Autochory
Chamaecrista_mucronata,Herb,Widespread,Xeric,Autochory
Chamaecrista_cipoana,Shrub,Widespread,Xeric,Autochory
Chamaecrista_ochnacea,Herb,Widespread,Xeric,Autochory
Chamaecrista_ramosa,Shrub,Widespread,Xeric,Autochory
Chamaecrista_rotundifolia2,Herb,Widespread,Mesic/Xeric,Autochory
Chamaecrista_semaphora,Shrub,Restricted,Xeric,Autochory
Chamaecrista_venulosa,Herb,Restricted,Mesic/Xeric,Autochory
Paepalanthus_chiquitensis,Herb,Widespread,Mesic/Xeric,Anemochory
Pitcairnia_encholirioides,Herb,Restricted,Xeric,Anemochory
Actinocephalus_geniculatus,Herb,Widespread,Xeric,Anemochory
Actinocephalus_incanus,Herb,Restricted,Xeric,Anemochory
Paepalanthus_chlorocephalus,Herb,Restricted,Mesic,Anemochory
Paepalanthus_senaeanus,Herb,Restricted,Mesic,Anemochory
Lessingianthus_linearifolius,Shrub,Widespread,Xeric,Anemochory
Richterago_arenaria,Herb,Restricted,Xeric,Anemochory
Lagenocarpus_alboniger,Herb,Widespread,Xeric,Autochory
Lagenocarpus_rigidus,Herb,NA,Xeric,Autochory
Rhynchospora_ciliolata,Herb,Widespread,Xeric,Autochory
Rhynchospora_consanguinea,Herb,Widespread,Xeric,Autochory
Rhynchospora_riedeliana,Herb,Widespread,Xeric,Autochory
Aristida_torta,Herb,Widespread,Xeric,Autochory
Vellozia_caruncularis,Herb,Restricted,Xeric,Autochory
Vellozia_epidendroides2,Shrub,Restricted,Mesic/Xeric,Autochory
Xyris_obtusiuscula,Herb,Restricted,Mesic/Xeric,Autochory
Dyckia_excelsa,Herb,Restricted,Xeric,Anemochory
Tibouchina_hatschbachii,Shrub,Widespread,Mesic/Xeric,Autochory
Tibouchina_marumbiense,Shrub,Widespread,NA,Autochory
Aechmea_nudicaulis,Herb,Widespread,Mesic/Xeric,Zoochory
Dyckia_saxatilis,Herb,Restricted,Xeric,Anemochory
Cryptanthus_schwackeanus,Herb,Restricted,Xeric,Zoochory
Neoregelia_bahiana,Herb,Restricted,Xeric,Zoochory
Tillandsia_stricta,Herb,Widespread,Mesic/Xeric,Anemochory
Vriesea_crassa,Herb,Restricted,Xeric,Anemochory
Vriesea_minarum,Herb,Widespread,Xeric,Anemochory
Lychnophora_ericoides,Shrub,Restricted,Xeric,Autochory
Collaea_cipoensis,Shrub,Restricted,Mesic/Xeric,Autochory
Mimosa_foliolosa,Shrub,Widespread,Xeric,Autochory
Mimosa_maguirei,Shrub,Restricted,Xeric,Autochory
Lavoisiera_cordata,Shrub,Restricted,Xeric,Autochory
Microlicia_tetrasticha,Shrub,Restricted,Mesic/Xeric,Autochory
Syngonanthus_nitens,Herb,Widespread,Mesic,Anemochory
Comanthera_elegantula,Herb,Restricted,Xeric,Anemochory
Comanthera_aciphylla,Herb,Widespread,Xeric,Anemochory
Comanthera_centauroides,Herb,Widespread,Xeric,Anemochory
Syngonanthus_caulescens,Herb,Widespread,Mesic,Anemochory
Syngonanthus_gracilis,Herb,Restricted,Xeric,Anemochory
Xyris_asperula,Herb,Restricted,Mesic/Xeric,Autochory
Xyris_subsetigera,Herb,Widespread,Mesic/Xeric,Autochory
Xyris_seubertii,Herb,Widespread,Mesic/Xeric,Autochory
Alcantarea_imperialis,Herb,Restricted,Xeric,Anemochory
Pitcairnia_flammea,Herb,Widespread,Xeric,Anemochory
Lippia_corymbosa,Shrub,Widespread,Xeric,Autochory
Lippia_diamantinensis,Shrub,Restricted,Mesic/Xeric,Autochory
Lippia_filifolia,Shrub,Widespread,Xeric,Autochory
Lippia_florida,Shrub,Widespread,Xeric,Autochory
